replicate_id,train_strategy,test_strategy,augmentation,in_domain,n_train_simulations,relative_MAE_I,R2_I,MAE_I,R2_S,R2_R,R2_overall,MAE_S,MAE_R,RMSE,MSE,mean_peak_I,n_test_samples,model_path,training_epoch
1,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.2628,0.958267,133.3021,0.990307,0.990749,0.997929,1190.5066,1149.9045,1898.9292,3605932.25,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_1.pt,100
2,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.34,0.960726,135.101,0.991441,0.991422,0.998125,1166.4048,1145.5482,1806.8785,3264809.75,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_2.pt,100
3,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.3895,0.961193,134.0209,0.990282,0.99015,0.997871,1309.9084,1289.6603,1925.2828,3706714.0,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_3.pt,100
4,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.5992,0.960523,139.775,0.991196,0.990604,0.998015,1166.3193,1164.9591,1859.1218,3456333.75,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_4.pt,100
5,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.8623,0.952571,153.1099,0.989274,0.988666,0.997594,1359.2708,1352.4338,2046.6189,4188648.75,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_5.pt,100
6,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.4279,0.958464,141.6713,0.99074,0.990751,0.997976,1254.811,1226.2889,1877.0487,3523312.0,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_6.pt,100
7,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.3698,0.962265,131.4522,0.991901,0.991817,0.998218,1092.25,1074.4663,1761.5143,3102932.5,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_7.pt,100
8,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.2783,0.957199,138.9727,0.990851,0.990856,0.997996,1316.8821,1290.1155,1867.6126,3487976.75,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_8.pt,100
9,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.2387,0.961638,132.6006,0.991374,0.991084,0.998085,1140.0293,1128.986,1825.9504,3334095.0,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_9.pt,100
10,UNIFORM_RANDOM,UNIFORM_RANDOM,1,0,8400,4.449,0.961264,138.6347,0.991307,0.990828,0.998051,1194.0311,1190.2202,1842.0593,3393182.5,4476.45,600,experiments\random-sampling\out\trained models\best_balanced_mlp_model_10.pt,100
