replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,20,0.9272554516792297,2957.589111328125,619.1829223632812,4170.3017578125,4083.281494140625,0.44311668078104655,best_balanced_mlp_model_1.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
2,123,20,0.9248336553573608,2981.78076171875,616.3732299804688,4215.55810546875,4113.41064453125,0.44843408664067586,best_balanced_mlp_model_2.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
3,456,20,0.9220415353775024,3094.959716796875,650.3133544921875,4347.6240234375,4286.94287109375,0.45025134881337486,best_balanced_mlp_model_3.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
4,789,20,0.9317724704742432,2986.482421875,610.7779541015625,4216.78662109375,4131.8828125,0.4297482967376709,best_balanced_mlp_model_4.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
5,1011,20,0.920266330242157,3057.3291015625,649.1776123046875,4306.82861328125,4215.9814453125,0.4305061936378479,best_balanced_mlp_model_5.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
6,1213,20,0.9175491333007812,3230.99072265625,666.9758911132812,4557.2919921875,4468.70263671875,0.4377827604611715,best_balanced_mlp_model_6.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
7,1415,20,0.923839807510376,3246.76123046875,654.832763671875,4579.20654296875,4506.2451171875,0.5082722067832947,best_balanced_mlp_model_7.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
8,1617,20,0.9195473194122314,3152.673095703125,660.1365966796875,4422.466796875,4375.416015625,0.42847855885823566,best_balanced_mlp_model_8.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
9,1819,20,0.926333487033844,2921.256591796875,627.1632080078125,4105.2939453125,4031.3134765625,0.43371806542078656,best_balanced_mlp_model_9.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
10,2021,20,0.9313027262687683,2993.878173828125,601.7965698242188,4246.92626953125,4132.9111328125,0.4249956210454305,best_balanced_mlp_model_10.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\LHS_aug
